,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá
0,55.0,2,2,Sổ hồng,11/03/2023,22024930," Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TPHCM",790 triệu
1,36.0,1,1,Sổ hồng,11/03/2023,21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",680 triệu
2,60.0,2,2,Sổ hồng,11/03/2023,22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",780 triệu
3,75.0,2,2,Giấy tờ hợp lệ,11/03/2023,22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",2 tỷ 450 triệu
4,75.0,2,2,Sổ hồng,11/03/2023,22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",790 triệu
5,78.5,2,2,Sổ hồng,11/03/2023,22049398," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",1 tỷ 670 triệu
6,60.0,2,2,Sổ hồng,11/03/2023,21979310," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 421 triệu
7,96.0,3,2,Sổ hồng,11/03/2023,21961979," Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TPHCM",2 tỷ 135 triệu
8,78.0,2,2,Sổ hồng,11/03/2023,22049560," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",1 tỷ 850 triệu
9,54.0,2,2,Sổ hồng,11/03/2023,21979290," Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 396 triệu
10,65.0,2,2,Không xác định,11/03/2023,22027899," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1 tỷ 660 triệu
11,62.0,2,2,Sổ hồng,11/03/2023,21966362," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 750 triệu
12,75.0,2,2,Sổ hồng,11/03/2023,22049607," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",2 tỷ 140 triệu
