,Mã BĐS,Địa chỉ,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
0,22021853," Lê Văn Sỹ, Phường 1, Quận Tân Bình, TPHCM",72.0,3,3,2,20/03/2023,1510000000
1,22057237," Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",35.0,1,1,1,20/03/2023,550000000
2,22057293," Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",35.0,1,1,1,20/03/2023,595000000
3,22057245," Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",35.0,1,1,1,20/03/2023,590000000
4,21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",36.0,1,1,2,20/03/2023,680000000
5,21961200," Phạm Thế Hiển, Phường 6, Quận 8, TPHCM",72.0,2,2,2,20/03/2023,1420000000
6,21947356," Đường số 1, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",87.0,2,2,2,20/03/2023,1580000000
7,21947349," Lê Đại Hành, Phường 15, Quận 11, TPHCM",95.0,2,2,2,20/03/2023,1480000000
8,21947345," Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, TPHCM",75.0,2,2,2,20/03/2023,1560000000
9,22057344," Tây Sơn, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",33.0,1,1,1,20/03/2023,590000000
10,21352949," Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",48.0,2,2,1,20/03/2023,620000000
11,22022711," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",72.0,2,2,2,20/03/2023,1680000000
12,22022665," Hoàng Diệu, Phường 6, Quận 4, TPHCM",75.0,2,2,2,20/03/2023,1620000000
13,22022771," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",65.0,2,2,2,20/03/2023,1610000000
14,22022605," Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TPHCM",65.0,2,2,2,20/03/2023,1720000000
15,22023673," Trương Công Định, Phường 14, Quận Tân Bình, TPHCM",75.0,2,2,2,20/03/2023,1630000000
16,22023755," Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, TPHCM",74.0,2,2,2,20/03/2023,1590000000
17,22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",60.0,2,2,2,20/03/2023,780000000
18,22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",75.0,2,2,3,20/03/2023,2450000000
19,22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",75.0,2,2,2,20/03/2023,790000000
20,21425299," Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",32.0,1,1,2,20/03/2023,630000000
21,21928914," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",111.0,3,2,4,20/03/2023,9200000000
22,21953714," Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",50.0,2,2,2,20/03/2023,600000000
23,21622323," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113.0,3,2,2,20/03/2023,3300000000
24,21891102," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",89.0,2,2,2,20/03/2023,4600000000
25,21419763," Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",32.0,1,1,2,20/03/2023,600000000
