Mã BĐS,Địa chỉ,Mã ĐVHC,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
22024930," Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TPHCM",777,55.0,2,2,2,11/03/2023,790000000
21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",3,36.0,1,1,2,11/03/2023,680000000
22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",777,60.0,2,2,2,11/03/2023,780000000
22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",776,75.0,2,2,3,11/03/2023,2450000000
22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",777,75.0,2,2,2,11/03/2023,790000000
22049398," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",764,78.5,2,2,2,11/03/2023,1670000000
21979310," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",769,60.0,2,2,2,11/03/2023,1421000000
21961979," Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TPHCM",766,96.0,3,2,2,11/03/2023,2135000000
22049560," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",766,78.0,2,2,2,11/03/2023,1850000000
21979290," Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM",769,54.0,2,2,2,11/03/2023,1396000000
22027899," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",773,65.0,2,2,0,11/03/2023,1660000000
21966362," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",767,62.0,2,2,2,11/03/2023,1750000000
22049607," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",776,75.0,2,2,2,11/03/2023,2140000000
21979375," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",776,73.5,2,2,2,11/03/2023,1934000000
22003653," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",769,81.0,2,2,2,11/03/2023,2195000000
21962898," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",768,70.0,2,2,2,11/03/2023,3540000000
22049694," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",768,75.6,2,2,2,11/03/2023,2220000000
