Mã BĐS,Địa chỉ,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Giá nhà
22021853," Lê Văn Sỹ, Phường 1, Quận Tân Bình, TPHCM",72 m2,3,3,Sổ hồng,20/03/2023,1 tỷ 510 triệu
22057237," Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",35 m2,1,1,Sổ đỏ,20/03/2023,550 triệu
22057293," Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",35 m2,1,1,Sổ đỏ,20/03/2023,595 triệu
22057245," Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",35 m2,1,1,Sổ đỏ,20/03/2023,590 triệu
21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",36 m2,1,1,Sổ hồng,20/03/2023,680 triệu
21961200," Phạm Thế Hiển, Phường 6, Quận 8, TPHCM",72 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 420 triệu
21947356," Đường số 1, Phường Trường Thọ, Quận Thủ Đức (TP. Thủ Đức), TPHCM",87 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 580 triệu
21947349," Lê Đại Hành, Phường 15, Quận 11, TPHCM",95 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 480 triệu
21947345," Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, TPHCM",75 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 560 triệu
22057344," Tây Sơn, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",33 m2,1,1,Sổ đỏ,20/03/2023,590 triệu
21352949," Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",48 m2,2,2,Sổ đỏ,20/03/2023,620 triệu
22022711," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",72 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 680 triệu
22022665," Hoàng Diệu, Phường 6, Quận 4, TPHCM",75 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 620 triệu
22022771," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",65 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 610 triệu
22022605," Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TPHCM",65 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 720 triệu
22023673," Trương Công Định, Phường 14, Quận Tân Bình, TPHCM",75 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 630 triệu
22023755," Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, TPHCM",74 m2,2,2,Sổ hồng,20/03/2023,1 tỷ 590 triệu
22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",60 m2,2,2,Sổ hồng,20/03/2023,780 triệu
22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",75 m2,2,2,Giấy tờ hợp lệ,20/03/2023,2 tỷ 450 triệu
22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",75 m2,2,2,Sổ hồng,20/03/2023,790 triệu
21425299," Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",32 m2,1,1,Sổ hồng,20/03/2023,630 triệu
21928914," Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TPHCM",111 m2,3,2,Hợp đồng mua bán,20/03/2023,9 tỷ 200 triệu
21953714," Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",50 m2,2,2,Sổ hồng,20/03/2023,600 triệu
21622323," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",113 m2,3,2,Sổ hồng,20/03/2023,3 tỷ 300 triệu
21891102," Tôn Dật Tiên, Phường Tân Phú, Quận 7, TPHCM",89 m2,2,2,Sổ hồng,20/03/2023,4 tỷ 600 triệu
21419763," Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",32 m2,1,1,Sổ hồng,20/03/2023,600 triệu
