,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá nhà
0,55.0,2,2,2,11/03/2023,22024930," Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TPHCM",790000000
1,36.0,1,1,2,11/03/2023,21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",680000000
2,60.0,2,2,2,11/03/2023,22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",780000000
3,75.0,2,2,3,11/03/2023,22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",2450000000
4,75.0,2,2,2,11/03/2023,22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",790000000
5,78.5,2,2,2,11/03/2023,22049398," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",1670000000
6,60.0,2,2,2,11/03/2023,21979310," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1421000000
7,96.0,3,2,2,11/03/2023,21961979," Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TPHCM",2135000000
8,78.0,2,2,2,11/03/2023,22049560," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",1850000000
9,54.0,2,2,2,11/03/2023,21979290," Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1396000000
10,65.0,2,2,0,11/03/2023,22027899," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1660000000
11,62.0,2,2,2,11/03/2023,21966362," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1750000000
12,75.0,2,2,2,11/03/2023,22049607," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",2140000000
13,73.5,2,2,2,11/03/2023,21979375," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",1934000000
14,81.0,2,2,2,11/03/2023,22003653," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",2195000000
15,70.0,2,2,2,11/03/2023,21962898," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",3540000000
16,75.6,2,2,2,11/03/2023,22049694," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2220000000
17,79.0,2,2,2,11/03/2023,21979338," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",2236000000
18,69.0,2,1,2,11/03/2023,22027807," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",1850000000
19,90.0,2,2,2,11/03/2023,21962894," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1880000000
20,65.2,2,2,2,11/03/2023,22049746," Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, TPHCM",1670000000
21,79.0,2,2,2,11/03/2023,21979327," Liên Phường, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",1527000000
22,80.0,2,2,2,11/03/2023,22004002," Đường số 62, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), TPHCM",1840000000
23,79.0,2,2,2,11/03/2023,21962420," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2157000000
24,50.6,2,1,2,11/03/2023,22052424," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",2110000000
25,64.0,2,2,2,11/03/2023,21979366," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",1659000000
26,76.0,2,2,1,11/03/2023,21481982," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",3700000000
27,105.0,3,2,2,11/03/2023,21962116," Tản Đà, Phường 11, Quận 5, TPHCM",2520000000
28,90.5,3,3,2,11/03/2023,22049814," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2360000000
29,86.0,2,2,2,11/03/2023,21979419," Hậu Giang, Phường 11, Quận 6, TPHCM",1837000000
30,67.0,2,2,2,11/03/2023,22028060," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1785000000
31,84.0,2,2,2,11/03/2023,21962405," Phan Văn Khỏe, Phường 2, Quận 6, TPHCM",2159000000
32,50.6,1,1,2,11/03/2023,21979409," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1378000000
33,68.0,2,2,2,11/03/2023,22028102," Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM",1550000000
34,70.0,2,2,2,11/03/2023,21964286," Phạm văn hai, Phường 3, Quận Tân Bình, TPHCM",2375000000
